 esp1   esp2   esp3  PSI:0.909091 esp1   esp2   esp3  PSI:1 esp1   esp2   esp3  PSI:1.11111 t 
0.159986  -0.21403  -0.437099  0.157978  -0.210298  -0.386113  0.168367  -0.198368  -0.353435  8460
0.159812  -0.21346  -0.437659  0.158162  -0.210754  -0.385559  0.167761  -0.197428  -0.353574  8520
0.159729  -0.213779  -0.437223  0.158846  -0.211468  -0.38537  0.167676  -0.197761  -0.353061  8580
0.1596  -0.214198  -0.4367  0.158703  -0.2115  -0.38524  0.167175  -0.197609  -0.352859  8640
0.159875  -0.214321  -0.436759  0.158434  -0.211259  -0.385156  0.167268  -0.196948  -0.353553  8700
0.159864  -0.214401  -0.436599  0.159018  -0.211583  -0.385196  0.167941  -0.197118  -0.353768  8760
0.160051  -0.214797  -0.436389  0.159528  -0.212155  -0.385102  0.167006  -0.196455  -0.353621  8820
0.160207  -0.214499  -0.436838  0.159391  -0.211872  -0.385375  0.16689  -0.196451  -0.353461  8880
0.159621  -0.214018  -0.436831  0.159091  -0.211335  -0.38579  0.166452  -0.196011  -0.3533  8940
0.159679  -0.213689  -0.437314  0.159926  -0.211447  -0.386352  0.16692  -0.19608  -0.35358  9000
0.159274  -0.212977  -0.437485  0.159971  -0.211544  -0.386373  0.166651  -0.196058  -0.353319  9060
0.159833  -0.213316  -0.437585  0.159951  -0.21137  -0.386661  0.16686  -0.196435  -0.353194  9120
0.160429  -0.213569  -0.437793  0.159633  -0.211079  -0.386754  0.166556  -0.196766  -0.352623  9180
0.160714  -0.213675  -0.43782  0.159722  -0.211031  -0.386807  0.166752  -0.197034  -0.352471  9240
0.160833  -0.214325  -0.437403  0.159669  -0.210861  -0.386961  0.167233  -0.197476  -0.352323  9300
0.160761  -0.214332  -0.437375  0.159371  -0.21004  -0.387595  0.167526  -0.197207  -0.352471  9360
0.160584  -0.21359  -0.437973  0.159825  -0.210032  -0.388065  0.167278  -0.196549  -0.352867  9420
0.161118  -0.213833  -0.438221  0.159325  -0.209478  -0.388152  0.167105  -0.196326  -0.352757  9480
0.161347  -0.213916  -0.438342  0.159504  -0.209831  -0.387834  0.16661  -0.196138  -0.352531  9540
0.161896  -0.214351  -0.43838  0.160033  -0.210256  -0.387752  0.16651  -0.196185  -0.352512  9600
0.161952  -0.214271  -0.438494  0.159795  -0.210067  -0.387825  0.16649  -0.196163  -0.352649  9660
0.161774  -0.213934  -0.438705  0.159668  -0.209754  -0.387978  0.16635  -0.196429  -0.352422  9720
0.161644  -0.214003  -0.438539  0.159186  -0.209279  -0.388104  0.166119  -0.196613  -0.352127  9780
0.161479  -0.214386  -0.437977  0.159179  -0.209046  -0.388368  0.165893  -0.196311  -0.352  9840
0.161349  -0.214389  -0.437779  0.159003  -0.208816  -0.388532  0.166117  -0.196577  -0.352086  9900
0.161281  -0.214238  -0.437999  0.159201  -0.209311  -0.388156  0.166294  -0.196436  -0.352356  9960
0.161358  -0.214481  -0.437749  0.159429  -0.209236  -0.388328  0.166847  -0.196812  -0.352577  10020
0.16102  -0.213893  -0.43813  0.159447  -0.209339  -0.388339  0.167129  -0.196656  -0.35306  10080
0.161394  -0.214243  -0.43803  0.159304  -0.209405  -0.388087  0.167182  -0.19663  -0.353167  10140
0.161189  -0.21443  -0.437585  0.159135  -0.209558  -0.387864  0.167248  -0.196415  -0.353317  10200
